3, 1024
351497.207201, 927308.633540, 5000.000000
297005.585598, 1000000.000000, 5000.000000
351497.207201, 1072691.366460, 5000.000000
351503.459071, 925530.344426, 5000.000000
296993.081857, 1000000.000000, 5000.000000
351503.459071, 1074469.655574, 5000.000000
351506.585007, 924641.199869, 5000.000000
296986.829987, 1000000.000000, 5000.000000
351506.585007, 1075358.800131, 5000.000000
351508.147974, 924196.627590, 5000.000000
296983.704052, 1000000.000000, 5000.000000
351508.147974, 1075803.372410, 5000.000000
351508.929458, 923974.341451, 5000.000000
296982.141084, 1000000.000000, 5000.000000
351508.929458, 1076025.658549, 5000.000000
351509.320200, 923863.198381, 5000.000000
296981.359600, 1000000.000000, 5000.000000
351509.320200, 1076136.801619, 5000.000000
351509.515571, 923807.626846, 5000.000000
296980.968858, 1000000.000000, 5000.000000
351509.515571, 1076192.373154, 5000.000000
351509.613256, 923779.841079, 5000.000000
296980.773487, 1000000.000000, 5000.000000
351509.613256, 1076220.158921, 5000.000000
351509.662099, 923765.948195, 5000.000000
296980.675802, 1000000.000000, 5000.000000
351509.662099, 1076234.051805, 5000.000000
351509.686520, 923759.001753, 5000.000000
296980.626959, 1000000.000000, 5000.000000
351509.686520, 1076240.998247, 5000.000000
351509.698731, 923755.528533, 5000.000000
296980.602538, 1000000.000000, 5000.000000
351509.698731, 1076244.471467, 5000.000000
351509.704836, 923753.791922, 5000.000000
296980.590327, 1000000.000000, 5000.000000
351509.704836, 1076246.208078, 5000.000000
351509.707889, 923752.923617, 5000.000000
296980.584222, 1000000.000000, 5000.000000
351509.707889, 1076247.076383, 5000.000000
351509.709415, 923752.489464, 5000.000000
296980.581169, 1000000.000000, 5000.000000
351509.709415, 1076247.510536, 5000.000000
351509.710179, 923752.272388, 5000.000000
296980.579643, 1000000.000000, 5000.000000
351509.710179, 1076247.727612, 5000.000000
351509.710560, 923752.163850, 5000.000000
296980.578880, 1000000.000000, 5000.000000
351509.710560, 1076247.836150, 5000.000000
351509.710751, 923752.109581, 5000.000000
296980.578498, 1000000.000000, 5000.000000
